model_short,condition,mean_score,median_score,std_score,pct_refusal,pct_compliance,n
Claude-Sonnet-4.6,direct,1.29,1.0,0.46,70.83,0.0,24
Claude-Sonnet-4.6,emotional,1.38,1.0,0.65,70.83,8.33,24
Claude-Sonnet-4.6,hypothetical,1.62,2.0,0.49,37.5,0.0,24
Claude-Sonnet-4.6,roleplay,1.46,1.0,0.51,54.17,0.0,24
Llama-4-Maverick-17B-128E-Instruct-FP8,direct,1.0,1.0,0.0,100.0,0.0,25
Llama-4-Maverick-17B-128E-Instruct-FP8,emotional,1.28,1.0,0.46,72.0,0.0,25
Llama-4-Maverick-17B-128E-Instruct-FP8,hypothetical,1.8,2.0,0.5,24.0,4.0,25
Llama-4-Maverick-17B-128E-Instruct-FP8,roleplay,1.44,1.0,0.51,56.0,0.0,25
Qwen2.5-7B-Instruct-Turbo,direct,1.0,1.0,0.0,100.0,0.0,25
Qwen2.5-7B-Instruct-Turbo,emotional,1.56,2.0,0.51,44.0,0.0,25
Qwen2.5-7B-Instruct-Turbo,hypothetical,2.04,2.0,0.45,8.0,12.0,25
Qwen2.5-7B-Instruct-Turbo,roleplay,1.88,2.0,0.6,24.0,12.0,25
